State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Selling Price,Cost Price,Rainfall,Temperature
Odisha,ANUGUL,2010,Autumn,Rice,16000,4000,1482,877,0.91789473,35
Odisha,ANUGUL,2010,Winter,Rice,68000,43000,1427,877,5.885642232,18
Odisha,BALANGIR,2010,Autumn,Rice,73000,75000,1401,907,4.252093392,36
Odisha,BALANGIR,2010,Summer,Rice,3000,8000,1500,892,6.112342161,21
Odisha,BALANGIR,2010,Winter,Rice,136000,315000,1384,978,1.058475791,37
Odisha,BALESHWAR,2010,Autumn,Rice,1000,1000,1418,870,8.949908795,25
Odisha,BALESHWAR,2010,Summer,Rice,33000,88000,1378,890,12.27725812,32
Odisha,BALESHWAR,2010,Winter,Rice,205000,348000,1418,911,9.560292547,23
Odisha,BARGARH,2010,Autumn,Rice,59000,47000,1466,946,10.30083126,27
Odisha,BARGARH,2010,Summer,Rice,67000,278000,1348,870,13.10920582,30
Odisha,BARGARH,2010,Winter,Rice,177000,370000,1441,993,13.76041119,27
Odisha,BHADRAK,2010,Summer,Rice,2000,4000,1382,860,1.415512117,41
Odisha,BHADRAK,2010,Winter,Rice,156000,285000,1320,967,9.742977912,16
Odisha,BOUDH,2010,Autumn,Rice,7000,5000,1454,858,10.16235,26
Odisha,BOUDH,2010,Summer,Rice,1000,1000,1390,931,5.232975005,35
Odisha,BOUDH,2010,Winter,Rice,57000,72000,1437,930,10.87822701,33
Odisha,CUTTACK,2010,Autumn,Rice,7000,7000,1442,972,12.83454245,29
Odisha,CUTTACK,2010,Summer,Rice,3000,7000,1340,979,1.697019397,19
Odisha,CUTTACK,2010,Winter,Rice,126000,232000,1443,857,9.583074934,31
Odisha,DEOGARH,2010,Autumn,Rice,19000,10000,1304,973,0.649962542,24
Odisha,DEOGARH,2010,Winter,Rice,23000,20000,1486,920,0.964615085,35
Odisha,DHENKANAL,2010,Autumn,Rice,9000,5000,1388,924,3.746684283,32
Odisha,DHENKANAL,2010,Winter,Rice,83000,121000,1489,952,0.637795437,28
Odisha,GAJAPATI,2010,Autumn,Rice,1000,1000,1449,885,6.598286575,36
Odisha,GAJAPATI,2010,Winter,Rice,37000,73000,1357,873,13.41506931,35
Odisha,GANJAM,2010,Autumn,Rice,1000,2000,1374,869,2.51486923,22
Odisha,GANJAM,2010,Summer,Rice,2000,2000,1306,919,3.622540496,19
Odisha,GANJAM,2010,Winter,Rice,271000,428000,1397,872,4.712697038,38
Odisha,JAGATSINGHAPUR,2010,Autumn,Rice,2000,3000,1313,983,11.67519074,20
Odisha,JAGATSINGHAPUR,2010,Summer,Rice,1000,2000,1323,903,13.74366007,22
Odisha,JAGATSINGHAPUR,2010,Winter,Rice,85000,132000,1368,958,5.191827847,32
Odisha,JAJAPUR,2010,Autumn,Rice,14000,10000,1346,875,13.80565734,24
Odisha,JAJAPUR,2010,Summer,Rice,2000,3000,1343,850,3.805025623,35
Odisha,JAJAPUR,2010,Winter,Rice,110000,160000,1391,908,13.68391509,31
Odisha,JHARSUGUDA,2010,Autumn,Rice,22000,6000,1379,867,7.262163712,40
Odisha,JHARSUGUDA,2010,Summer,Rice,1000,1000,1405,952,4.193536109,31
Odisha,JHARSUGUDA,2010,Winter,Rice,30000,25000,1394,906,13.20666551,36
Odisha,KALAHANDI,2010,Autumn,Rice,73000,112000,1404,908,12.74119914,24
Odisha,KALAHANDI,2010,Summer,Rice,50000,129000,1429,979,9.308781781,30
Odisha,KALAHANDI,2010,Winter,Rice,153000,394000,1496,879,10.6935993,35
Odisha,KANDHAMAL,2010,Autumn,Rice,12000,12000,1479,957,7.525605595,23
Odisha,KANDHAMAL,2010,Summer,Rice,1000,1000,1406,996,10.41782003,25
Odisha,KANDHAMAL,2010,Winter,Rice,41000,57000,1388,908,7.202322289,40
Odisha,KENDRAPARA,2010,Autumn,Rice,3000,4000,1446,880,0.176689677,34
Odisha,KENDRAPARA,2010,Summer,Rice,3000,6000,1439,961,0.656920048,41
Odisha,KENDRAPARA,2010,Winter,Rice,129000,157000,1466,917,2.807146349,16
Odisha,KENDUJHAR,2010,Autumn,Rice,38000,23000,1465,952,5.792200896,41
Odisha,KENDUJHAR,2010,Summer,Rice,3000,7000,1468,881,9.65665665,28
Odisha,KENDUJHAR,2010,Winter,Rice,140000,162000,1415,947,10.99173641,40
Odisha,KHORDHA,2010,Summer,Rice,1000,3000,1423,903,9.076974781,26
Odisha,KHORDHA,2010,Winter,Rice,100000,166000,1436,937,10.68186032,32
Odisha,KORAPUT,2010,Autumn,Rice,29000,35000,1427,969,2.241294936,28
Odisha,KORAPUT,2010,Summer,Rice,20000,41000,1472,962,5.192324057,16
Odisha,KORAPUT,2010,Winter,Rice,85000,174000,1489,905,7.535063654,23
Odisha,MALKANGIRI,2010,Autumn,Rice,13000,15000,1492,975,7.81908652,16
Odisha,MALKANGIRI,2010,Summer,Rice,2000,4000,1431,869,1.209982747,22
Odisha,MALKANGIRI,2010,Winter,Rice,83000,183000,1348,900,5.111358384,25
Odisha,MAYURBHANJ,2010,Autumn,Rice,44000,14000,1334,985,8.924208871,28
Odisha,MAYURBHANJ,2010,Summer,Rice,3000,7000,1457,950,1.986358967,26
Odisha,MAYURBHANJ,2010,Winter,Rice,237000,240000,1371,987,10.79480965,18
Odisha,NABARANGPUR,2010,Autumn,Rice,35000,44000,1331,939,7.420191898,28
Odisha,NABARANGPUR,2010,Summer,Rice,3000,5000,1471,931,0.496355736,16
Odisha,NABARANGPUR,2010,Winter,Rice,109000,235000,1424,913,2.000688018,29
Odisha,NAYAGARH,2010,Autumn,Rice,2000,3000,1474,875,12.50247258,23
Odisha,NAYAGARH,2010,Winter,Rice,92000,153000,1361,981,1.951743275,19
Odisha,NUAPADA,2010,Autumn,Rice,39000,57000,1456,935,13.38596974,37
Odisha,NUAPADA,2010,Summer,Rice,5000,10000,1490,900,5.531992224,36
Odisha,NUAPADA,2010,Winter,Rice,61000,124000,1331,979,11.91037839,40
Odisha,PURI,2010,Autumn,Rice,1000,1000,1494,860,10.7923157,28
Odisha,PURI,2010,Summer,Rice,33000,76000,1480,886,7.067245153,35
Odisha,PURI,2010,Winter,Rice,120000,182000,1485,979,12.56737733,18
Odisha,RAYAGADA,2010,Autumn,Rice,8000,8000,1310,940,5.133705143,38
Odisha,RAYAGADA,2010,Summer,Rice,3000,6000,1322,942,13.11637497,26
Odisha,RAYAGADA,2010,Winter,Rice,49000,112000,1374,919,10.76239386,41
Odisha,SAMBALPUR,2010,Autumn,Rice,43000,17000,1310,968,3.09263734,36
Odisha,SAMBALPUR,2010,Summer,Rice,23000,83000,1459,938,1.898962995,41
Odisha,SAMBALPUR,2010,Winter,Rice,87000,122000,1471,920,3.891653573,33
Odisha,SONEPUR,2010,Autumn,Rice,14000,12000,1333,869,10.86326662,19
Odisha,SONEPUR,2010,Summer,Rice,27000,91000,1374,879,10.99277101,36
Odisha,SONEPUR,2010,Winter,Rice,87000,205000,1358,853,13.06560363,27
Odisha,SUNDARGARH,2010,Autumn,Rice,93000,30000,1411,995,0.184474085,41
Odisha,SUNDARGARH,2010,Summer,Rice,1000,,1343,988,6.029090386,32
Odisha,SUNDARGARH,2010,Winter,Rice,118000,108000,1478,905,4.226670909,24
Odisha,ANUGUL,2011,Autumn,Rice,14000,9000,1794,1123,11.52513637,16
Odisha,ANUGUL,2011,Summer,Rice,1000,2000,1783,1336,12.40759994,28
Odisha,ANUGUL,2011,Winter,Rice,64000,67000,1712,1184,2.349685682,33
Odisha,BALANGIR,2011,Autumn,Rice,53000,14000,1684,1315,3.521429462,15
Odisha,BALANGIR,2011,Summer,Rice,4000,9000,1656,1131,5.794930401,24
Odisha,BALANGIR,2011,Winter,Rice,117000,51000,1632,1246,9.255663888,38
